Frequency (THz),F-statistic,p-value,eta_squared,Significant
0.3002931531814634,0.7605361832728255,0.6524876847058008,0.14611700555096485,
0.3039552648056276,0.7459915011674916,0.6650930799148068,0.14372424763244873,
0.3076173764297918,0.8326526049936688,0.5905207747249339,0.15778610800465218,
0.311279488053956,0.8112017659654813,0.6088120384973711,0.1543486249814016,
0.3149415996781202,0.8067958306542257,0.6125871005218351,0.15363910017220905,
0.3186037113022844,0.872454127734737,0.557059768243431,0.16409079765032022,
0.32226582292644856,1.2404590583571735,0.2988574493248017,0.21820230681943048,
0.32592793455061275,1.6113624845589036,0.14505684498544755,0.26608551155115695,
0.32959004617477694,1.5720694404330797,0.15703064804713862,0.26129241459650865,
0.33325215779894113,1.2324011230663876,0.30334071751246705,0.21709259278067142,
0.33691426942310526,1.431216081423708,0.2077147561057152,0.24358386178415903,
0.34057638104726945,3.37281389651353,0.0036719585883233973,0.43145739201708544,*
0.34423849267143364,4.9724979785897645,0.0001668674586002685,0.5280374197071509,*
0.3479006042955978,4.086987061437939,0.0008849078005911735,0.47905056245484307,*
0.351562715919762,3.304822397520906,0.00421884021419449,0.42646904086771004,*
0.3552248275439262,3.3298443071873245,0.004008446443607377,0.4283149769152085,*
0.3588869391680904,4.514408705567881,0.00039022130650744237,0.5039047554386654,*
0.3625490507922546,9.194823763563901,2.214171238385123e-07,0.6741434821382211,*
0.36621116241641877,12.90110011114747,2.491066676567178e-09,0.7437702558025748,*
0.369873274040583,8.585942962812492,5.125216190977688e-07,0.658916937345299,*
0.3735353856647472,6.284164859234522,1.7109743349484233e-05,0.5857389976051796,*
0.3771974972889114,9.108156429651588,2.4900955239850666e-07,0.6720596669426446,*
0.3808596089130756,15.128245050799869,2.5225626221690164e-10,0.7729262273575432,*
0.38452172053723976,14.718324769469955,3.773171202634395e-10,0.7680687798913058,*
0.38818383216140395,12.951685638916096,2.3578371391464624e-09,0.7445153362761092,*
0.39184594378556814,13.731208616085185,1.0292872617627668e-09,0.7554726408100267,*
0.3955080554097323,14.796074847597232,3.4935977189238827e-10,0.7690060035810572,*
0.39917016703389646,14.767138335995462,3.595019395459503e-10,0.7686580801156291,*
0.40283227865806065,15.20157973768511,2.349201479040104e-10,0.7737738484264325,*
0.40649439028222484,15.952919015900195,1.148687697833794e-10,0.7821069152841681,*
0.410156501906389,15.344877637811296,2.0455450485885255e-10,0.7754119910742372,*
0.4138186135305532,14.905421957112878,3.136642165359895e-10,0.7703113627654389,*
0.4174807251547174,14.304173790471047,5.714229003722095e-10,0.7629454934354784,*
0.4211428367788816,12.55873253637304,3.6279013263038234e-09,0.7386109402108472,*
0.4248049484030458,10.573412922041873,3.716936447397048e-08,0.7040560223748964,*
0.42846706002720997,10.050393656740503,7.185691942019206e-08,0.6933774345447052,*
0.43212917165137416,10.964877592204608,2.299892496713089e-08,0.7115743032773325,*
0.4357912832755384,12.248084054475276,5.133737926067364e-09,0.7337464815631722,*
0.4394533948997026,12.629172368022365,3.355971390930185e-09,0.7396893409720231,*
0.4431155065238668,11.71268793557573,9.471721271824477e-09,0.7249236844812621,*
0.44677761814803096,11.020058432881822,2.151322018971223e-08,0.7126034713368743,*
0.45043972977219515,11.499520956137086,1.2150021520895547e-08,0.721245980358037,*
0.45410184139635934,12.782231953082968,2.836175820278219e-09,0.7420022097192005,*
0.4577639530205235,13.203356274305115,1.7975975098053127e-09,0.7481587357385248,*
0.46142606464468766,11.95744647415721,7.142406712050445e-09,0.7290285329599456,*
0.46508817626885185,10.588601396236916,3.647587400760728e-08,0.7043550261506438,*
0.46875028789301604,10.359985820817696,4.851920259229468e-08,0.6997895653659065,*
0.4724123995171802,11.059350387066122,2.0516872969613454e-08,0.7133318330934467,*
0.4760745111413444,12.028992263268966,6.581532791392326e-09,0.7302053892395483,*
0.4797366227655086,12.868659322421934,2.5806439598416203e-09,0.743290139983437,*
0.4833987343896728,13.456326850160764,1.3734601585065124e-09,0.7517177125332084,*
0.487060846013837,11.200457807146801,1.7319646236602056e-08,0.7159174040865343,*
0.49072295763800117,9.341156745614546,1.8185883196173e-07,0.6776024213111997,*
0.49438506926216536,10.479063052718487,4.1798647619069196e-08,0.7021849960346521,*
0.49804718088632954,11.979711916954006,6.962675957340469e-09,0.7293958760104,*
0.5017092925104937,9.971708919566552,7.949390783689217e-08,0.6917038593984648,*
0.505371404134658,6.8014666208930175,7.39335104659595e-06,0.6047946299216881,*
0.5090335157588222,6.219997806698047,1.9028997666064218e-05,0.5832464239779342,*
0.5126956273829864,6.671745870510967,9.097726560989605e-06,0.6001827677900572,*
0.5163577390071505,6.170414664702295,2.066542835558695e-05,0.581299723458911,*
0.5200198506313147,5.060684245954285,0.00014216128656275478,0.5324161734986433,*
0.5236819622554789,4.677264810968825,0.00028754816223813584,0.5127618826694238,*
0.5273440738796431,5.146847414515106,0.00012168304010658302,0.5366167029634539,*
0.5310061855038073,5.796182111786498,3.890064161056665e-05,0.565998777512281,*
0.5346682971279715,5.577161000265844,5.679707467554036e-05,0.5565137273698673,*
0.5383304087521357,4.839140869263175,0.0002130506402853479,0.521257758262641,*
0.5419925203762999,4.028291826371826,0.0009921582217485023,0.4754416634266055,*
0.5456546320004639,3.7640031963668763,0.0016703080197041473,0.4585523793381769,*
0.5493167436246281,3.9172378035654045,0.001233501946114014,0.4684748460153151,*
0.5529788552487923,4.243985567777964,0.0006531509212186798,0.4884640334108399,*
0.5566409668729565,7.509160722424401,2.4651231316133836e-06,0.6281921326326847,*
0.5603030784971207,13.435291775646128,1.4043526858401633e-09,0.7514256144645783,*
0.5639651901212849,10.225127700946782,5.75190641078688e-08,0.6970297156321165,*
0.5676273017454491,9.082062913148047,2.5800512228886773e-07,0.6714270486128311,*
0.5712894133696133,9.48959145317153,1.4922500379593905e-07,0.6810368168202524,*
0.5749515249937774,9.985888149114265,7.805729108958004e-08,0.6920067908602276,*
0.5786136366179416,8.990075390947194,2.925294961135503e-07,0.6691772762331194,*
0.5822757482421058,7.601931605983104,2.1431912794211976e-06,0.6310554787730809,*
0.58593785986627,8.03869018545209,1.1223345223658326e-06,0.6439640702263842,*
0.5895999714904342,9.759469769904603,1.0464623039132505e-07,0.6870972059269006,*
0.5932620831145984,9.654291984356671,1.200815560523234e-07,0.6847629241890595,*
0.5969241947387626,7.7687284549633935,1.6702040082599996e-06,0.6360942008231163,*
0.6005863063629268,6.760293715267267,7.894858432485676e-06,0.6033424091581984,*
0.6042484179870911,7.786244464580562,1.627308685556849e-06,0.6366153634105655,*
0.6079105296112552,9.405684149634956,1.668382156442416e-07,0.6791044635972291,*
0.6115726412354194,9.361312814007958,1.7702038861313098e-07,0.6780731139015658,*
0.6152347528595836,8.321358916614331,7.459791872577146e-07,0.6518476496354355,*
0.6188968644837478,7.848017115976672,1.4850100267214702e-06,0.6384414608417808,*
0.622558976107912,8.859045085627425,3.5028863516075025e-07,0.6659188978652538,*
0.6262210877320762,10.389635600096124,4.6746304691566374e-08,0.7003896142464064,*
0.6298831993562404,10.247238936428738,5.593118236540609e-08,0.6974856911066772,*
0.6335453109804046,9.438650639584518,1.5967157180798167e-07,0.6798664550272153,*
0.6372074226045688,9.364901393016082,1.7617319340449924e-07,0.6781567717430896,*
0.6408695342287329,10.160393651872036,6.244533889885221e-08,0.695686839173833,*
0.6445316458528971,9.933482443301477,8.350670469942764e-08,0.6908841949785967,*
0.6481937574770613,8.95993316369438,3.0486854150432173e-07,0.6684333600281572,*
0.6518558691012255,9.01348052668504,2.833096559279175e-07,0.6697526213009152,*
0.6555179807253897,9.795498872641664,9.984933851661342e-08,0.6878888949570671,*
0.6591800923495539,10.421959360977485,4.4890649184060066e-08,0.7010410518498429,*
0.6628422039737181,10.533909817164071,3.9038536292459513e-08,0.7032755156662231,*
0.6665043155978823,10.499547243060373,4.074460609364945e-08,0.7025932202464615,*
0.6701664272220463,10.116565397653687,6.603026220744881e-08,0.6947708646144246,*
0.6738285388462105,9.776314356495094,1.0237417942424948e-07,0.6874678414381915,*
0.6774906504703747,10.501684392874921,4.063625260346794e-08,0.7026357464986512,*
0.6811527620945389,11.73282796898086,9.252909626984467e-09,0.7252661430887406,*
0.6848148737187031,12.215950844258892,5.3232460764159704e-09,0.7332329535147329,*
0.6884769853428673,12.070789396613112,6.2754206227913116e-09,0.7308881916406611,*
0.6921390969670315,12.282572427180583,4.938190562164359e-09,0.7342954527663704,*
0.6958012085911957,12.755241960806694,2.9213072107691277e-09,0.7415973559211201,*
0.6994633202153598,13.462398070717594,1.3646770213328887e-09,0.7518018913339273,*
0.703125431839524,14.846961431711112,3.3224556118640653e-10,0.7696153161166023,*
0.7067875434636882,15.680645734519635,1.4843687996191225e-10,0.7791590296032512,*
0.7104496550878524,15.225060846020524,2.2963720188255015e-10,0.7740439132142843,*
0.7141117667120166,14.462903369424525,4.868993163283371e-10,0.7649355960340283,*
0.7177738783361808,14.75695193299818,3.6314535733208635e-10,0.7685353524775074,*
0.721435989960345,15.85805852122987,1.2555490749399256e-10,0.7810888415108873,*
0.7250981015845092,15.967033411126154,1.1336222099959023e-10,0.7822575868394813,*
0.7287602132086733,14.932341758368395,3.0547762166976463e-10,0.7706304648291307,*
0.7324223248328375,14.000152236981469,7.792060715956294e-10,0.7590381334323194,*
0.7360844364570017,14.263336224199804,5.955686292098094e-10,0.7624280226946576,*
0.739746548081166,15.329731697666654,2.07559795379871e-10,0.7752399689118029,*
0.7434086597053302,15.317675896870973,2.0998503295461933e-10,0.775102854972874,*
0.7470707713294944,14.40344898621732,5.169093469110436e-10,0.7641941015427112,*
0.7507328829536586,15.179745538276965,2.3994703285073683e-10,0.7735221454563154,*
0.7543949945778228,23.29375959737981,3.1031722383155563e-13,0.8397717300751336,*
0.758057106201987,25.519718430183367,6.942336727791588e-14,0.8516746667330473,*
0.7617192178261512,23.916787439975863,2.0177381979047817e-13,0.8432915586122358,*
0.7653813294503153,22.226294630568947,6.632698847414093e-13,0.8333587819990971,*
0.7690434410744795,20.532050175044926,2.356196274550808e-12,0.8220549155454178,*
0.7727055526986437,19.548044703695986,5.111863397008344e-12,0.8147568425684186,*
0.7763676643228079,19.770097222757766,4.2809374827012505e-12,0.8164555618880738,*
0.7800297759469721,20.184061051649635,3.0881433165060055e-12,0.8195406357422176,*
0.7836918875711363,19.575231069691146,5.001618949740778e-12,0.8149665076937036,*
0.7873539991953005,18.690763929078496,1.0292524710149505e-11,0.8078926123038117,*
0.7910161108194645,18.82549425423145,9.205594297054327e-12,0.8090048924496188,*
0.7946782224436287,19.777792745319818,4.2548185323218354e-12,0.816513874848749,*
0.7983403340677929,20.607007714992882,2.22387077342286e-12,0.8225873527746691,*
0.8020024456919571,21.037176906841506,1.6011335638460243e-12,0.8255823527406704,*
0.8056645573161213,21.363984707073243,1.2518764275191657e-12,0.8277909740902234,*
0.8093266689402855,21.761604643884013,9.31695027742847e-13,0.8304038724241001,*
0.8129887805644497,21.91648878486288,8.31392951103781e-13,0.8314003375455896,*
0.8166508921886139,21.535734997879807,1.101329913269697e-12,0.8289294169691517,*
0.820313003812778,21.044616324893422,1.5921365688698735e-12,0.8256332595122156,*
0.8239751154369422,20.910420047805605,1.7629111358549121e-12,0.824710384636333,*
0.8276372270611064,20.604546300028336,2.228089797164719e-12,0.822569919491659,*
0.8312993386852706,19.57768519140268,4.991790698722063e-12,0.814985410876635,*
0.8349614503094348,18.86691917402866,8.896159626446153e-12,0.8093442958899906,*
0.838623561933599,19.103750912702694,7.324638747163734e-12,0.8112617813366552,*
0.8422856735577632,19.086378932767047,7.4293492090289e-12,0.8111224425427968,*
0.8459477851819274,18.043653942398944,1.774700491264083e-11,0.8023645944627921,*
0.8496098968060916,17.509605023117807,2.8138671498312104e-11,0.7975569631920858,*
0.8532720084302557,18.110177856707736,1.67689553245316e-11,0.8029475118181264,*
0.8569341200544199,18.599489587181118,1.1104809022551853e-11,0.8071316972898417,*
0.8605962316785841,18.177037363591154,1.5842803489123318e-11,0.8035299154069682,*
0.8642583433027483,17.540183211714336,2.7397952496021647e-11,0.7978385390939543,*
0.8679204549269125,17.21594743941916,3.642071341276358e-11,0.7948123714347272,*
0.8715825665510768,17.05198691010109,4.2124397886450214e-11,0.7932473362140328,*
0.875244678175241,17.23437076547539,3.583248597284825e-11,0.7949867462124636,*
0.8789067897994052,17.748596272544447,2.2864320879098793e-11,0.7997370211175184,*
0.8825689014235694,17.867895249257426,2.063019051016018e-11,0.8008077814583079,*
0.8862310130477336,17.30596338406344,3.3639616501512766e-11,0.7956615581883852,*
0.8898931246718977,16.701055082318625,5.771853818151226e-11,0.7898160580780126,*
0.8935552362960619,16.287956973734172,8.41583179559473e-11,0.785628092240803,*
0.8972173479202261,15.706264784752962,1.44878993532084e-10,0.7794398006594891,*
0.9008794595443903,15.136770078693441,2.501737860028224e-10,0.773025087938609,*
0.9045415711685545,14.935249927889602,3.0460673148132037e-10,0.7706648846439339,*
0.9082036827927187,15.008941746701554,2.83386221246075e-10,0.771533634259144,*
0.9118657944168828,14.983303167748145,2.905875703128464e-10,0.7712321297783783,*
0.915527906041047,14.564483720944319,4.397795284604613e-10,0.7661917386516904,*
0.9191900176652111,13.885373725148732,8.770842382066231e-10,0.7575292671578567,*
0.9228521292893753,13.378272549316211,1.4918137549917478e-09,0.7506303642704781,*
0.9265142409135395,13.148121010254464,1.9072947602820045e-09,0.7473680313488694,*
0.9301763525377037,12.940623272253609,2.3863201980694694e-09,0.7443527677389624,*
0.9338384641618679,12.6655709027113,3.2239159488974676e-09,0.7402431059079508,*
0.9375005757860321,12.387557689560484,4.389573562801391e-09,0.7359527161973554,*
0.9411626874101963,11.904553565691437,7.589153245788006e-09,0.7281518756263176,*
0.9448247990343605,11.241952667172944,1.6482316284144683e-08,0.7166688811446165,*
0.9484869106585246,10.759288612025106,2.955241894970565e-08,0.7076741331923593,*
0.9521490222826888,10.508382323052341,4.0298619858563994e-08,0.7027689470658851,*
0.955811133906853,10.136596083563466,6.436581268113895e-08,0.6951901727515697,*
0.9594732455310172,9.665941256436298,1.1826025658229497e-07,0.6850231780576306,*
0.9631353571551814,9.396430387656867,1.6890991085960836e-07,0.6788899185666762,*
0.9667974687793456,9.1270380581443,2.4270550898708115e-07,0.67251592126382,*
0.9704595804035098,8.675218299077303,4.5222355764825247e-07,0.6612379044088592,*
0.974121692027674,8.345156385034908,7.210181267584e-07,0.6524954528525838,*
0.9777838036518381,8.18135893356836,9.123514856586879e-07,0.6479871964278948,*
0.9814459152760023,7.851257197891383,1.4779154777714096e-06,0.6385367363549521,*
0.9851080269001665,7.8029931687122005,1.5873699142596778e-06,0.6371123017871039,*
0.9887701385243307,9.611552751536792,1.2701931989151565e-07,0.6838044016033857,*
0.9924322501484949,11.013465140418772,2.1685319409909413e-08,0.7124808875323903,*
0.9960943617726591,10.133589081658746,6.461284774006211e-08,0.6951272998181635,*
0.9997564733968233,9.285454873110172,1.959642626266868e-07,0.6762944620604802,*
1.0034185850209874,8.861706228954935,3.490037054197938e-07,0.6659857119061916,*
1.0070806966451518,8.30848400872662,7.598592353916617e-07,0.6514961672713416,*
1.010742808269316,7.7554277943744365,1.7035658779790207e-06,0.6356974599862886,*
1.0144049198934801,7.799124361440259,1.5965034016256683e-06,0.6369976340306706,*
1.0180670315176443,8.08428771351199,1.0502087677231991e-06,0.6452598404682193,*
1.0217291431418085,7.784453577739227,1.6316410213756799e-06,0.6365621467787145,*
1.0253912547659727,7.43991151268694,2.7381960404025045e-06,0.6260256373608939,*
1.029053366390137,7.55487022691496,2.30061174020016e-06,0.6296084763030118,*
1.032715478014301,7.609555251901085,2.1187703737357196e-06,0.6312888206068358,*
1.0363775896384653,7.4895084379995565,2.539594068968955e-06,0.6275798565467248,*
1.0400397012626295,7.755529258812487,1.7033087529761928e-06,0.6357004898086048,*
1.0437018128867936,8.048335412294325,1.1066566781786989e-06,0.6442389527862341,*
1.0473639245109578,7.659663996214476,1.9653345837640185e-06,0.6328152159051087,*
1.051026036135122,7.190307783165635,4.01588164864655e-06,0.6180026563954303,*
1.0546881477592862,7.3011487871909875,3.3850303074522408e-06,0.6216074951009027,*
1.0583502593834504,7.509318221501663,2.4645356157894144e-06,0.6281970314580695,*
1.0620123710076146,7.3531763732176625,3.12554455736685e-06,0.6232762085563315,*
1.0656744826317788,6.996437189985537,5.432654279850724e-06,0.6115295493426485,*
1.069336594255943,6.340198784351277,1.5599175936981158e-05,0.5878913794220366,*
1.0729987058801072,5.542890009434297,6.029622434516212e-05,0.5549919285302077,*
1.0766608175042713,5.282840270076292,9.538867479707687e-05,0.5430950594249752,*
1.0803229291284355,5.378878088976637,8.044066172637978e-05,0.54756199551389,*
1.0839850407525997,4.820697417011728,0.00022041514117684635,0.5203047604771467,*
1.087647152376764,3.9071724495646944,0.0012581892066525927,0.46783425283401703,*
1.0913092640009279,3.346562794451145,0.0038739091758960603,0.4295417385500372,*
1.094971375625092,2.947352453464859,0.008827402436351474,0.39873287837474064,*
1.0986334872492562,9.1959139438775,2.2109118732344686e-07,0.6741695256152868,*
1.1022955988734207,14.76334064146215,3.6085577446912234e-10,0.7686123400190749,*
1.1059577104975846,14.17399760911821,6.522000053502374e-10,0.7612880588151049,*
1.109619822121749,13.270217244769883,1.6736006184405925e-09,0.7491092676553612,*
1.113281933745913,11.60851545256991,1.0693417776766266e-08,0.7231386315696788,*
1.1169440453700774,13.219114413803753,1.7675303070400232e-09,0.7483834101546842,*
1.1206061569942414,13.404109582212529,1.4514952789321066e-09,0.7509913442956426,*
1.1242682686184058,11.866614466752425,7.927582135608521e-09,0.7275195639570956,*
1.1279303802425698,10.432527653601444,4.430082262384335e-08,0.7012534260900982,*
1.1315924918667342,9.896462495861398,8.75955517791273e-08,0.6900862363207185,*
1.1352546034908981,9.231361687258046,2.1076248257765357e-07,0.6750140794887722,*
1.1389167151150625,7.900893978299436,1.3735548412498593e-06,0.6399900681332167,*
1.1425788267392265,6.950906771202653,5.835749126224663e-06,0.6099774056685758,*
